arch,cache_type_k,cache_type_v,category,ctx_size,decode_throughput_tok_s,engine,experiment_dir,goodput_sla_fraction_mean,max_tokens,max_vmhwm_kb,model,model_label,node_count,parallel_requests,prompt_id,replica_count,source,successful_runs,suite,threads,threads_batch,total_throughput_output_tok_s_mean,tpot_s_mean_across_replicas,ttft_s_mean_across_replicas
unknown,turbo4,turbo4,long,2048,6.155365073654817,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5154176.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,long_quantisation_evaluation,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.148709799856962,0.1624599009212363,0.18453409598441795
unknown,turbo4,turbo4,long,2048,6.518609255462866,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5154176.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,mandatory_long_transformer_cpu,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.513218090195378,0.15340695550388428,0.16922169795725495
unknown,turbo4,turbo4,medium,2048,7.2585946391292175,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5154176.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,mandatory_medium_ml_vs_dl,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,7.252550608938348,0.13776771533834622,0.15202986798249185
unknown,turbo4,turbo4,medium,2048,6.974266997413752,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5154176.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,medium_concurrency,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.968517950752408,0.14338424387406265,0.15809529600664973
unknown,turbo4,turbo4,medium,2048,6.897817121293663,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5154176.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,medium_cpu_inference_pipeline,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.892295181872712,0.1449733999054549,0.15941003401530907
unknown,turbo4,turbo4,medium,2048,6.973317360505313,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5154176.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,medium_quant_tradeoff,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.967689890279511,0.1434037701573267,0.15777080901898444
unknown,turbo4,turbo4,medium,2048,6.955461629054566,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5154176.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,medium_thread_scaling,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.949885255553471,0.14377190951967436,0.1581182469963096
unknown,turbo4,turbo4,short,2048,7.72234550739537,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5154176.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,mandatory_short_capital_france,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,3.265106039803681,0.1294943355023861,1.2367556329700164
unknown,turbo4,turbo4,short,2048,7.22694760994125,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5154176.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,short_batching,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,7.220883029898152,0.13837100446451545,0.15280805999645963
unknown,turbo4,turbo4,short,2048,7.185311603767019,tq,measurements/1258624-track-a1-server-sweep,0.0,128,5154176.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,short_cpu_quantisation,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.019242088893741,0.13917280907841678,3.5897700390196405
unknown,turbo4,turbo4,short,2048,7.2573107295410155,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5154176.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,short_kv_cache,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,7.251213656826601,0.13779208818074742,0.15217890101484954
unknown,turbo4,turbo4,short,2048,7.23380439763724,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5154176.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,short_threading_definition,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,7.2282522012069865,0.138239845181137,0.1514083489892073
unknown,turbo2,turbo2,long,2048,0.6853392320937316,tq,measurements/1258624-track-a1-server-sweep,0.0,128,5115648.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,16,long_concurrency_server,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,0.6807662617906995,1.4591314099223103,1.595843880000757
unknown,turbo2,turbo2,long,2048,0.6363684393817446,tq,measurements/1258624-track-a1-server-sweep,0.0,128,5115648.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,16,long_quantisation_evaluation,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,0.634570942752088,1.5714167110039852,1.597652782977093
unknown,turbo2,turbo2,long,2048,0.7793948031048988,tq,measurements/1258624-track-a1-server-sweep,0.0,128,5115648.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,16,mandatory_long_transformer_cpu,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,0.7769838974104476,1.2830467896581674,1.601067809999222
unknown,turbo2,turbo2,medium,2048,0.8059470585497829,tq,measurements/1258624-track-a1-server-sweep,0.0,128,5115648.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,16,mandatory_medium_ml_vs_dl,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,0.8040834198443342,1.240776288456707,1.6048551670101006
unknown,turbo2,turbo2,medium,2048,0.8059298992647052,tq,measurements/1258624-track-a1-server-sweep,0.0,128,5115648.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,16,medium_concurrency,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,0.8040694335966013,1.2408027061812148,1.6057369890040718
unknown,turbo2,turbo2,medium,2048,0.8059420974352609,tq,measurements/1258624-track-a1-server-sweep,0.0,128,5115648.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,16,medium_cpu_inference_pipeline,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,0.8040905786477143,1.240783926267516,1.6051462780160364
unknown,turbo2,turbo2,medium,2048,0.8059406415415806,tq,measurements/1258624-track-a1-server-sweep,0.0,128,5115648.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,16,medium_quant_tradeoff,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,0.8041082101091439,1.2407861676850396,1.6019435209746007
unknown,turbo2,turbo2,medium,2048,0.8059457505410299,tq,measurements/1258624-track-a1-server-sweep,0.0,128,5115648.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,16,medium_thread_scaling,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,0.8040774717028336,1.2407783021731944,1.6055992390029132
unknown,turbo2,turbo2,short,2048,0.6449299409151783,tq,measurements/1258624-track-a1-server-sweep,0.0,128,5115648.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,16,mandatory_short_capital_france,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,0.5660687807844365,1.5505560163340608,1.6125441520125605
unknown,turbo2,turbo2,short,2048,0.8059270565990815,tq,measurements/1258624-track-a1-server-sweep,0.0,128,5115648.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,16,short_batching,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,0.8040479268791,1.240807082740073,1.610220976988785
unknown,turbo2,turbo2,short,2048,0.8059484404431089,tq,measurements/1258624-track-a1-server-sweep,0.0,128,5115648.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,16,short_cpu_quantisation,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,0.8040530212969701,1.2407741609999294,1.6126075020001736
unknown,turbo2,turbo2,short,2048,0.8059400130427392,tq,measurements/1258624-track-a1-server-sweep,0.0,128,5115648.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,16,short_kv_cache,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,0.8040412618787052,1.2407871352913826,1.6122831009852234
unknown,turbo2,turbo2,short,2048,0.8059438254780594,tq,measurements/1258624-track-a1-server-sweep,0.0,128,5115648.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,16,short_threading_definition,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,0.8040670920218898,1.2407812658739992,1.6080502230033744
unknown,turbo3,turbo3,long,2048,0.6690589892252785,tq,measurements/1258624-track-a1-server-sweep,0.0,128,5164736.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,16,long_concurrency_server,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,0.6581942485377396,1.494636521000827,1.8395690999750514
unknown,turbo3,turbo3,long,2048,0.6061093310811518,tq,measurements/1258624-track-a1-server-sweep,0.0,128,5164736.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,16,long_quantisation_evaluation,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,0.595084761436922,1.6498673567955848,1.8326246509968769
