experiment_dir,suite,engine,replica_count,model,model_label,threads,threads_batch,ctx_size,parallel_requests,cache_type_k,cache_type_v,max_tokens,category,prompt_id,successful_runs,total_throughput_output_tok_s_mean,ttft_s_mean_across_replicas,tpot_s_mean_across_replicas,goodput_sla_fraction_mean,max_vmhwm_kb
measurements/1253766-track-a1-server-sweep,concurrency,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,turbo3,turbo3,128,long,long_hpc_case_study,3,3.091171351229327,0.4392223669989714,0.3225838746666794,0.0,5073536.0
measurements/1253766-track-a1-server-sweep,concurrency,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,turbo3,turbo3,128,long,long_memory_bound_reasoning,3,3.0916081438972633,0.4662115363353223,0.32243280356953924,0.0,5073536.0
measurements/1253766-track-a1-server-sweep,concurrency,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,turbo3,turbo3,128,long,mandatory_long_transformer_cpu,3,3.5506496910587586,0.389204636667273,0.2807917542493555,0.0,5073536.0
measurements/1253766-track-a1-server-sweep,concurrency,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,turbo3,turbo3,128,medium,mandatory_medium_ml_vs_dl,3,3.7362155190614916,0.3712670309978421,0.26684341688977364,0.0,5073536.0
measurements/1253766-track-a1-server-sweep,concurrency,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,turbo3,turbo3,128,medium,medium_cpu_inference_pipeline,3,3.7301129518664196,0.3673825126667604,0.2673063182204776,0.0,5073536.0
measurements/1253766-track-a1-server-sweep,concurrency,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,turbo3,turbo3,128,medium,medium_quant_tradeoff,3,3.57350236956988,0.38692989966633223,0.278986252459319,0.0,5073536.0
measurements/1253766-track-a1-server-sweep,concurrency,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,turbo3,turbo3,128,short,mandatory_short_capital_france,3,2.133646026799326,1.4649707180008893,0.26195941488872954,0.0,5073536.0
measurements/1253766-track-a1-server-sweep,concurrency,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,turbo3,turbo3,128,short,short_cpu_quantisation,3,3.4675340964693357,1.9345055096673605,0.275469019585307,0.0,5073536.0
measurements/1253766-track-a1-server-sweep,concurrency,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,turbo3,turbo3,128,short,short_threading_definition,3,3.5229300316808048,3.0946355699998094,0.2617137447873944,0.0,5073536.0
measurements/1253766-track-a1-server-sweep,concurrency,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,2,turbo4,turbo4,128,long,long_hpc_case_study,3,3.344400093977594,0.4137674413213972,0.2981039769265384,0.0,5096256.0
