timestamp,cpu_percent,rss_kb
2026-05-14T22:31:25+01:00,56.5,6199572
2026-05-14T22:31:26+01:00,56.7,6199572
2026-05-14T22:31:27+01:00,56.8,6199572
2026-05-14T22:31:28+01:00,57.0,6199572
2026-05-14T22:31:29+01:00,57.1,6199572
2026-05-14T22:31:30+01:00,57.3,6199572
2026-05-14T22:31:31+01:00,57.4,6199572
2026-05-14T22:31:32+01:00,57.5,6199572
2026-05-14T22:31:33+01:00,57.7,6199572
2026-05-14T22:31:34+01:00,57.8,6199572
2026-05-14T22:31:36+01:00,58.0,6199572
2026-05-14T22:31:37+01:00,57.9,6199572
2026-05-14T22:31:38+01:00,58.1,6199572
2026-05-14T22:31:39+01:00,58.2,6199572
2026-05-14T22:31:40+01:00,58.3,6199572
2026-05-14T22:31:41+01:00,58.5,6199572
2026-05-14T22:31:42+01:00,58.6,6199572
2026-05-14T22:31:43+01:00,58.7,6199572
2026-05-14T22:31:44+01:00,58.9,6199572
2026-05-14T22:31:45+01:00,59.0,6199572
2026-05-14T22:31:46+01:00,59.1,6199572
2026-05-14T22:31:47+01:00,59.3,6199572
2026-05-14T22:31:48+01:00,59.4,6199572
2026-05-14T22:31:49+01:00,59.5,6199572
2026-05-14T22:31:50+01:00,59.7,6199572
2026-05-14T22:31:51+01:00,59.8,6199572
2026-05-14T22:31:52+01:00,59.9,6199572
2026-05-14T22:31:53+01:00,60.0,6199572
2026-05-14T22:31:54+01:00,60.2,6199572
2026-05-14T22:31:56+01:00,60.3,6199572
2026-05-14T22:31:57+01:00,60.3,6199572
2026-05-14T22:31:58+01:00,60.4,6199572
2026-05-14T22:31:59+01:00,60.5,6199572
2026-05-14T22:32:00+01:00,60.6,6199572
2026-05-14T22:32:01+01:00,60.7,6199572
2026-05-14T22:32:02+01:00,60.9,6199700
2026-05-14T22:32:03+01:00,61.0,6199700
2026-05-14T22:32:04+01:00,61.1,6199700
2026-05-14T22:32:05+01:00,61.2,6199700
2026-05-14T22:32:06+01:00,61.3,6199700
2026-05-14T22:32:07+01:00,61.5,6199700
2026-05-14T22:32:08+01:00,61.6,6199700
2026-05-14T22:32:09+01:00,61.7,6199700
2026-05-14T22:32:10+01:00,61.8,6199700
2026-05-14T22:32:11+01:00,61.9,6199700
2026-05-14T22:32:12+01:00,62.1,6199700
2026-05-14T22:32:13+01:00,62.2,6199700
2026-05-14T22:32:15+01:00,62.3,6199700
2026-05-14T22:32:16+01:00,62.2,6199700
2026-05-14T22:32:17+01:00,62.3,6199700
2026-05-14T22:32:18+01:00,62.5,6199700
2026-05-14T22:32:19+01:00,62.6,6199700
2026-05-14T22:32:20+01:00,62.7,6199700
2026-05-14T22:32:21+01:00,62.8,6199700
2026-05-14T22:32:22+01:00,62.9,6199700
2026-05-14T22:32:23+01:00,63.0,6199700
2026-05-14T22:32:24+01:00,63.1,6199700
2026-05-14T22:32:25+01:00,63.2,6199700
2026-05-14T22:32:26+01:00,63.3,6199700
2026-05-14T22:32:27+01:00,63.4,6199700
2026-05-14T22:32:28+01:00,63.5,6199700
2026-05-14T22:32:29+01:00,63.7,6199700
2026-05-14T22:32:30+01:00,63.8,6199700
2026-05-14T22:32:31+01:00,63.9,6199700
2026-05-14T22:32:32+01:00,64.0,6199700
2026-05-14T22:32:33+01:00,64.1,6199700
2026-05-14T22:32:35+01:00,64.0,6199700
2026-05-14T22:32:36+01:00,64.1,6199700
2026-05-14T22:32:37+01:00,64.2,6199700
2026-05-14T22:32:38+01:00,64.3,6199700
2026-05-14T22:32:39+01:00,64.4,6199700
2026-05-14T22:32:40+01:00,64.5,6199700
2026-05-14T22:32:41+01:00,64.6,6199700
2026-05-14T22:32:42+01:00,64.7,6199700
2026-05-14T22:32:43+01:00,64.8,6199700
2026-05-14T22:32:44+01:00,64.9,6199700
2026-05-14T22:32:45+01:00,65.0,6199700
2026-05-14T22:32:46+01:00,65.1,6199700
2026-05-14T22:32:47+01:00,65.2,6199700
2026-05-14T22:32:48+01:00,65.3,6199700
2026-05-14T22:32:49+01:00,65.4,6199700
2026-05-14T22:32:50+01:00,65.5,6199700
2026-05-14T22:32:51+01:00,65.6,6199700
2026-05-14T22:32:52+01:00,65.7,6199828
2026-05-14T22:32:54+01:00,65.8,6199828
2026-05-14T22:32:55+01:00,65.7,6199828
2026-05-14T22:32:56+01:00,65.8,6199828
2026-05-14T22:32:57+01:00,65.9,6199828
2026-05-14T22:32:58+01:00,66.0,6199828
2026-05-14T22:32:59+01:00,66.1,6199828
2026-05-14T22:33:00+01:00,66.2,6199828
2026-05-14T22:33:01+01:00,66.3,6199828
2026-05-14T22:33:02+01:00,66.4,6199828
2026-05-14T22:33:03+01:00,66.5,6199828
2026-05-14T22:33:04+01:00,66.6,6199828
2026-05-14T22:33:05+01:00,66.6,6199828
2026-05-14T22:33:06+01:00,66.7,6199828
2026-05-14T22:33:07+01:00,66.8,6199828
2026-05-14T22:33:08+01:00,66.9,6199828
2026-05-14T22:33:09+01:00,67.0,6199828
2026-05-14T22:33:10+01:00,67.1,6199828
2026-05-14T22:33:11+01:00,67.2,6199828
2026-05-14T22:33:12+01:00,67.3,6199828
2026-05-14T22:33:14+01:00,67.4,6199828
2026-05-14T22:33:15+01:00,67.3,6199828
2026-05-14T22:33:16+01:00,67.4,6199828
2026-05-14T22:33:17+01:00,67.5,6199828
2026-05-14T22:33:18+01:00,67.5,6199828
2026-05-14T22:33:19+01:00,67.6,6199828
2026-05-14T22:33:20+01:00,67.7,6199828
2026-05-14T22:33:21+01:00,67.8,6199828
2026-05-14T22:33:22+01:00,67.9,6199828
2026-05-14T22:33:23+01:00,68.0,6199828
2026-05-14T22:33:24+01:00,68.1,6199828
2026-05-14T22:33:25+01:00,68.1,6199828
2026-05-14T22:33:26+01:00,68.2,6199828
2026-05-14T22:33:27+01:00,68.3,6199828
2026-05-14T22:33:28+01:00,68.4,6199828
2026-05-14T22:33:29+01:00,68.5,6199828
2026-05-14T22:33:30+01:00,68.5,6199828
2026-05-14T22:33:31+01:00,68.6,6199828
2026-05-14T22:33:33+01:00,68.7,6203256
2026-05-14T22:33:34+01:00,68.6,6203256
2026-05-14T22:33:35+01:00,68.7,6203256
2026-05-14T22:33:36+01:00,68.8,6203256
